timestamp,device_id,bt_address,bt_name,bt_rssi
1762847552640,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4A:E0:13:23:B6:7D,NA,-84
1762847552660,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,54:FA:94:50:94:B5,Jabra Evolve2 65,-81
1762847552671,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,77:0D:47:CF:25:26,NA,-72
1762847553279,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,7D:90:BC:36:0F:1B,NA,-84
1762847553847,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,76:0C:AD:8C:EF:3A,NA,-89
1762847554296,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:CA:C4:8A:40:9C,mbasg,-100
1762847555492,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,7E:A3:64:8A:DC:7D,NA,-92
1762847555509,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,7C:0A:47:48:AF:7D,NA,-94
1762847557102,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,54:5F:26:3B:88:58,NA,-93
1762847560995,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,7F:3D:7F:B5:84:87,Jabra Evolve2 65,-92
1762847562272,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,6E:75:2A:7C:71:0F,NA,-90
1762848370014,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:CA:C4:8A:40:9C,mbasg,-97
1762848370261,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,59:E5:7B:C5:81:96,NA,-72
1762848370299,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4A:E0:13:23:B6:7D,NA,-81
1762848370338,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,75:51:00:FF:57:28,Jabra Evolve2 65,-94
1762848370354,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,98:04:ED:A2:3E:1C,S295b50867b2bc14bC,-85
1762848370578,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,84:25:3F:A3:1F:C2,mitte-home MH22340108,-94
1762848370614,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,52:30:55:47:B7:20,NA,-91
1762848371375,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,6A:DD:87:62:7E:06,NA,-92
1762848371424,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,76:0C:AD:8C:EF:3A,NA,-90
1762848371585,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,54:33:71:6B:FF:3F,NA,-85
1762848372237,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,77:D9:B6:4A:7A:D2,NA,-92
1762848372391,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:CA:C4:8A:40:9C,mbasg,-100
1762848372496,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,5D:71:14:41:82:85,NA,-90
1762848374457,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,6B:38:D3:2B:4B:33,Jabra Evolve2 65,-76
1762848375115,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,6B:F6:65:25:B1:83,NA,-88
1762848376068,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4D:2F:47:18:8E:C5,NA,-88
1762848670195,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,98:04:ED:A2:3E:1C,S295b50867b2bc14bC,-89
1762848670594,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49:31:A0:49:60:FA,NA,-82
1762848670790,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:CA:C4:8A:40:9C,mbasg,-100
1762848670937,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4A:E0:13:23:B6:7D,NA,-83
1762848671260,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,7D:46:58:06:39:43,NA,-88
1762848671281,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,76:83:23:1D:86:39,NA,-92
1762848671293,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,45:0D:06:8B:78:DA,NA,-92
1762848671303,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,5D:71:14:41:82:85,NA,-90
1762848671313,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,84:25:3F:A3:1F:C2,mitte-home MH22340108,-87
1762848671898,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,50:40:D9:EB:BC:CB,NA,-90
1762848671916,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,6B:F6:65:25:B1:83,NA,-90
1762848671929,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4D:2F:47:18:8E:C5,NA,-92
1762848672231,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,77:D9:B6:4A:7A:D2,NA,-92
1762848672566,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,61:1C:93:EE:E2:02,NA,-83
1762848672900,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,52:30:55:47:B7:20,NA,-90
1762848672919,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,79:30:A7:AA:7B:5C,NA,-78
1762848677369,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49:3B:A0:20:FF:7B,NA,-90
1762848680372,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:CA:C4:8A:40:9C,mbasg,-100
1762848680917,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,6A:EF:A3:40:DD:26,Jabra Evolve2 65,-84
1762848680935,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,65:B0:F8:95:15:CA,NA,-71
1762849568965,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,84:25:3F:A3:1F:C2,mitte-home MH22340108,-86
1762849569013,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,79:30:A7:AA:7B:5C,NA,-70
1762849569048,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,65:B0:F8:95:15:CA,NA,-75
1762849569091,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,66:80:93:30:89:A5,NA,-71
1762849569252,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:CA:C4:8A:40:9C,mbasg,-100
1762849569391,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,98:04:ED:A2:3E:1C,S295b50867b2bc14bC,-89
1762849569630,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,61:63:80:D2:C8:C1,NA,-92
1762849569658,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,6F:75:D6:31:E5:02,Jabra Evolve2 65,-90
1762849569977,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,66:2E:28:96:9A:31,NA,-91
1762849570321,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,47:DF:48:F5:FD:85,Jabra Evolve2 65,-89
1762849571273,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,7D:46:58:06:39:43,NA,-88
1762849571518,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,40:52:32:A5:79:F6,NA,-91
1762849571538,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49:3B:A0:20:FF:7B,NA,-84
1762849571908,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,5E:2F:3C:20:7E:C6,NA,-94
1762849572155,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:CA:C4:8A:40:9C,mbasg,-100
1762849572200,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4C:D7:1C:CD:32:AF,NA,-88
1762849572322,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49:31:A0:49:60:FA,NA,-89
1762849579929,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,52:EC:8D:EE:55:BA,NA,-91
1762850091802,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,66:80:93:30:89:A5,NA,-79
1762850091821,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,67:A7:F5:18:52:D1,NA,-92
1762850091834,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,98:04:ED:A2:3E:1C,S295b50867b2bc14bC,-86
1762850092201,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,7C:AF:BE:1E:E3:96,NA,-84
1762850092497,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,5D:08:F2:E6:CA:FA,NA,-89
1762850092518,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,75:E9:0D:3F:3A:1D,NA,-79
1762850092784,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,42:1C:FA:67:78:F7,NA,-88
1762850092806,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,79:CD:56:2C:D2:22,NA,-90
1762850092818,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,84:25:3F:A3:1F:C2,mitte-home MH22340108,-84
1762850092976,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:CA:C4:8A:40:9C,mbasg,-98
1762850093154,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,61:C8:FF:CB:84:5E,NA,-65
1762850093171,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49:D8:E0:C9:5D:0E,NA,-91
1762850093781,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,67:5C:05:5C:BE:59,NA,-94
1762850093797,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,65:F4:CA:54:CF:99,NA,-87
1762850094132,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,7C:89:D8:41:0A:70,Jabra Evolve2 65,-72
1762850096968,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,50:DD:33:93:24:6C,NA,-91
1762850096996,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,71:7B:0A:41:E2:06,NA,-82
1762850097357,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,6F:75:D6:31:E5:02,Jabra Evolve2 65,-81
1762850098266,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,70:F2:F3:AF:7B:20,Jabra Evolve2 65,-87
1762850098917,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,32:D5:EC:FA:FD:55,NA,-90
1762850099542,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,75:AB:B2:6A:77:45,NA,-89
1762850099832,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,52:EC:8D:EE:55:BA,NA,-87
1762850101434,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4C:D7:1C:CD:32:AF,NA,-85
1762850102424,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,65:ED:40:4E:6C:6D,NA,-90
1762850102764,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,5C:54:05:18:1D:FD,NA,-65
1762850692888,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,71:7B:0A:41:E2:06,NA,-84
1762850693242,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,98:04:ED:A2:3E:1C,S295b50867b2bc14bC,-82
1762850693309,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,5C:54:05:18:1D:FD,NA,-70
1762850693427,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:CA:C4:8A:40:9C,mbasg,-100
1762850693616,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,84:25:3F:A3:1F:C2,mitte-home MH22340108,-84
1762850693889,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,67:A7:F5:18:52:D1,NA,-83
1762850693902,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,7C:AF:BE:1E:E3:96,NA,-85
1762850694225,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,49:D8:E0:C9:5D:0E,NA,-83
1762850694597,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,79:CD:56:2C:D2:22,NA,-89
1762850694614,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,5D:08:F2:E6:CA:FA,NA,-91
1762850694627,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,78:63:D8:44:2D:90,NA,-85
1762850694638,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,42:1C:FA:67:78:F7,NA,-90
1762850694861,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,75:E9:0D:3F:3A:1D,NA,-79
1762850695149,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,61:C8:FF:CB:84:5E,NA,-70
1762850695172,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4A:23:EC:E3:03:A2,NA,-82
1762850697778,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,69:FA:FC:99:06:AE,NA,-91
1762850698697,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,67:5C:05:5C:BE:59,NA,-87
1762850704808,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,1D:78:DB:EB:0A:DA,NA,-85
1762850705429,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,7F:55:14:93:75:A7,NA,-92
1762851293139,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,5E:38:ED:AE:23:E6,NA,-83
1762851293952,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4A:23:EC:E3:03:A2,NA,-81
1762851293968,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,7D:F4:7D:1E:C2:AE,NA,-83
1762851293979,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,59:B7:DA:DB:E9:B4,NA,-83
1762851294258,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,5A:DB:C9:3A:7B:63,NA,-61
1762851294279,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,36:8C:E6:73:9D:4D,NA,-94
1762851294293,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,5A:B9:EE:1E:98:7B,NA,-93
1762851294307,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,48:4C:1F:F0:B6:A4,NA,-92
1762851294318,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:CA:C4:8A:40:9C,mbasg,-99
1762851294328,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,61:81:C2:8A:51:46,NA,-72
1762851294719,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,68:CA:C4:8A:40:9C,mbasg,-97
1762851295168,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,98:04:ED:A2:3E:1C,S295b50867b2bc14bC,-89
