pid,date,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:afternoon,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:allday,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:evening,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:morning,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:night,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:wkdy,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:wkend,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:afternoon,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:allday,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:evening,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:morning,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:night,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:wkdy,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:wkend,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:7dhist,f_misc:phone_data_yield_rapids_ratiovalidyieldedminutes:14dhist,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:7dhist,f_misc:phone_data_yield_rapids_ratiovalidyieldedhours:14dhist
P001,2025-10-23,0.356646872765228,0.29652434921499,0.329981686016426,0.264275237660221,0.280941243638794,,,0.0,0.0,0.0,0.0,0.0,,,0.2937466035548965,0.2937466035548965,0.0104165462253509,0.0104165462253509
P001,2025-10-24,0.369979466139629,0.29652434921499,0.309982795954824,0.24522837368471,0.285702959632672,,,0.0,0.0,0.0,0.0,0.0,,,0.2943021526869152,0.2943021526869152,0.0083332369802807,0.0083332369802807
P001,2025-10-25,0.346647427734427,0.314579696005598,0.409977246262832,0.257132663669405,0.26874067805773,,0.300338435158182,0.0,0.0416661849014037,0.199988900616016,0.0,0.0,,0.0204080476891177,0.297681743240029,0.297681743240029,0.0138887283004678,0.0138887283004678
P001,2025-10-26,0.306649647611224,0.286663484701986,0.326648537672826,0.276179527644916,0.123804615840824,,,0.0,0.0,0.0,0.0,0.0,,,0.2961077063060228,0.2961077063060228,0.0119046242575439,0.0119046242575439
P001,2025-10-27,0.316649092642025,0.282635620914522,0.339981131047227,0.285702959632672,0.276179527644916,0.30513818325684,,0.0,0.0,0.0,0.0,0.0,0.0166666281250891,,0.282635620914522,0.282635620914522,0.0,0.0
P001,2025-10-28,0.37997891117043,0.321524060155832,0.413310394606433,0.249990089678588,0.261894379663282,,,0.199988900616016,0.0416661849014037,0.0,0.0,0.0,,,0.302079840535177,0.302079840535177,0.0208330924507018,0.0208330924507018
P001,2025-10-29,0.369979466139629,0.318746314495739,0.389978356201231,0.264275237660221,0.316654113592878,,,0.0,0.0416661849014037,0.199988900616016,0.0,0.0,,,0.3076353318553643,0.3076353318553643,0.0277774566009357,0.0277774566009357
P001,2025-10-30,0.356646872765228,0.307635331855364,0.349980576078028,0.26665609565716,0.257132663669405,,,0.0,0.0,0.0,0.0,0.0,,,0.3076353318553642,0.3076353318553642,0.0208330924507018,0.0208330924507018
P001,2025-10-31,0.359980021108828,0.295829912799967,0.303316499267624,0.26665609565716,0.283322101635733,,,0.0,0.0,0.0,0.0,0.0,,,0.3052742480442848,0.3052742480442848,0.0166664739605614,0.0166664739605614
P001,2025-11-01,0.63663133362765,0.387495519583055,0.386645207857631,0.316654113592878,0.259513521666343,,0.342011911632525,0.799955602464063,0.208330924507019,0.199988900616016,0.0,0.0,,0.145832490239249,0.3189777933007465,0.3189777933007465,0.0486105490516377,0.0486105490516377
