local_timezone,timestamp,device_id,sensor,local_date_time,local_date,local_time,local_hour,local_minute,assigned_segments
Europe/Berlin,1762737480000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 02:18:00,2025-11-10,02:18:00,2,18,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762737481000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 02:18:01,2025-11-10,02:18:01,2,18,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762737591000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 02:19:51,2025-11-10,02:19:51,2,19,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762737593000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 02:19:53,2025-11-10,02:19:53,2,19,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762737822000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 02:23:42,2025-11-10,02:23:42,2,23,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762738122000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 02:28:42,2025-11-10,02:28:42,2,28,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762738123000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 02:28:43,2025-11-10,02:28:43,2,28,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762738422000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 02:33:42,2025-11-10,02:33:42,2,33,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762738723000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 02:38:43,2025-11-10,02:38:43,2,38,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762738726000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 02:38:46,2025-11-10,02:38:46,2,38,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762738730000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 02:38:50,2025-11-10,02:38:50,2,38,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762739022000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,4,2025-11-10 02:43:42,2025-11-10,02:43:42,2,43,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762739322000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 02:48:42,2025-11-10,02:48:42,2,48,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762739323000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 02:48:43,2025-11-10,02:48:43,2,48,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
Europe/Berlin,1762739324000,0adab909-eb8f-4baf-9eed-7a4cc889cb7c,3,2025-11-10 02:48:44,2025-11-10,02:48:44,2,48,"[allday_RR0SS#2025-11-10 00:00:00,2025-11-11 00:00:00;1762729200000,1762815600999]|[wkdy_RR0SS#2025-11-10 00:00:00,2025-11-15 00:00:00;1762729200000,1763161200999]"
