"episode_id","episode","device_id","screen_sequence","start_timestamp","end_timestamp","timestamp"
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762788978194,1762789038193,1762789038193
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789038194,1762789098193,1762789038194
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789038194,1762789098193,1762789098193
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789098194,1762789158193,1762789098194
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789098194,1762789158193,1762789158193
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789158194,1762789218193,1762789158194
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789158194,1762789218193,1762789218193
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789218194,1762789278193,1762789218194
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789218194,1762789278193,1762789278193
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789278194,1762789338193,1762789278194
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789278194,1762789338193,1762789338193
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789338194,1762789398193,1762789338194
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789338194,1762789398193,1762789398193
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789398194,1762789458193,1762789398194
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789398194,1762789458193,1762789458193
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789458194,1762789518193,1762789458194
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789458194,1762789518193,1762789518193
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789518194,1762789578193,1762789518194
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789518194,1762789578193,1762789578193
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789578194,1762789638193,1762789578194
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789578194,1762789638193,1762789638193
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789638194,1762789698193,1762789638194
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789638194,1762789698193,1762789698193
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789698194,1762789758193,1762789698194
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789698194,1762789758193,1762789758193
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789758194,1762789818193,1762789758194
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789758194,1762789818193,1762789818193
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789818194,1762789878193,1762789818194
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789818194,1762789878193,1762789878193
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789878194,1762789938193,1762789878194
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789878194,1762789938193,1762789938193
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789938194,1762789998193,1762789938194
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789938194,1762789998193,1762789998193
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789998194,1762790015058,1762789998194
61,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762789998194,1762790015058,1762790015058
64,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790341046,1762790401045,1762790341046
64,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790341046,1762790401045,1762790401045
64,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790401046,1762790461045,1762790401046
64,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790401046,1762790461045,1762790461045
64,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790461046,1762790478823,1762790461046
64,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790461046,1762790478823,1762790478823
67,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790515611,1762790518027,1762790515611
67,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790515611,1762790518027,1762790518027
70,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790565052,1762790625051,1762790565052
70,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790565052,1762790625051,1762790625051
70,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790625052,1762790685051,1762790625052
70,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790625052,1762790685051,1762790685051
70,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790685052,1762790745051,1762790685052
70,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790685052,1762790745051,1762790745051
70,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790745052,1762790805051,1762790745052
70,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790745052,1762790805051,1762790805051
70,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790805052,1762790865051,1762790805052
70,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790805052,1762790865051,1762790865051
70,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790865052,1762790925051,1762790865052
70,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790865052,1762790925051,1762790925051
70,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790925052,1762790932228,1762790925052
70,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762790925052,1762790932228,1762790932228
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791028744,1762791088743,1762791028744
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791028744,1762791088743,1762791088743
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791088744,1762791148743,1762791088744
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791088744,1762791148743,1762791148743
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791148744,1762791208743,1762791148744
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791148744,1762791208743,1762791208743
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791208744,1762791268743,1762791208744
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791208744,1762791268743,1762791268743
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791268744,1762791328743,1762791268744
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791268744,1762791328743,1762791328743
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791328744,1762791388743,1762791328744
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791328744,1762791388743,1762791388743
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791388744,1762791448743,1762791388744
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791388744,1762791448743,1762791448743
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791448744,1762791508743,1762791448744
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791448744,1762791508743,1762791508743
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791508744,1762791568743,1762791508744
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791508744,1762791568743,1762791568743
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791568744,1762791628743,1762791568744
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791568744,1762791628743,1762791628743
73,"unlock","0adab909-eb8f-4baf-9eed-7a4cc889cb7c","3, 0",1762791628744,1762791688743,1762791628744
